signal_date,symbol,quarter,signal_value,revision,revision_to_price,current_eps,prior_eps,breadth,paired_count,current_count,prior_count,prior_return20,prior_active20,prior_runup_pct,active20,denominator_category,runup_category,small_positive_cutoff
2020-08-31,002709,2020Q4,0.4240506329113924,0.4240506329113924,,1.125,0.79,0.6428571428571429,14.0,16,15,0.0343425723753545,0.0278532315611403,0.6442953020134228,0.3608283193606911,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.48
2020-09-30,300677,2020Q4,5.656493967352732,5.656493967352732,,14.0685,2.1135,0.25,4.0,4,4,0.0848903575724167,0.14747727064435,0.9503386004514672,0.081336397398869,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.5080000000000001
2020-09-30,300676,2020Q4,3.100719424460432,3.100719424460432,,5.7,1.39,0.6,10.0,13,11,-0.0313529788070843,0.0312339342648489,0.7065462753950339,-0.0671813812541604,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.5080000000000001
2020-09-30,601111,2020Q4,2.3125,2.3125,,-0.53,-0.16,-0.4285714285714285,21.0,23,22,-0.012534249015103,0.0500526640568302,0.7652370203160271,-0.0779328436531004,NEGATIVE_BASE_DETERIORATION,NORMAL_PRIOR_RUNUP,0.5080000000000001
2020-09-30,600029,2020Q4,1.6045548654244306,1.6045548654244306,,-0.629,-0.2415,-0.0769230769230769,13.0,15,18,0.0034595292287202,0.0660464423006535,0.8216704288939052,-0.0682880009614892,NEGATIVE_BASE_DETERIORATION,HIGH_PRIOR_RUNUP,0.5080000000000001
2020-09-30,603885,2020Q4,1.428125,1.428125,,-0.3885,-0.16,-0.2307692307692307,13.0,16,13,-0.0181981957923739,0.0443887172795593,0.7471783295711061,-0.0080661115969419,NEGATIVE_BASE_DETERIORATION,NORMAL_PRIOR_RUNUP,0.5080000000000001
2020-09-30,601919,2020Q4,1.0,1.0,,0.25,0.125,0.8,10.0,10,10,0.067035873721301,0.1296227867932343,0.9345372460496614,0.2019467782207363,SMALL_POSITIVE_BASE_UPGRADE,HIGH_PRIOR_RUNUP,0.5080000000000001
2020-09-30,603882,2020Q4,0.6869565217391305,0.6869565217391305,,1.94,1.15,0.6666666666666666,18.0,24,18,-0.0803798586102008,-0.0177929455382675,0.4266365688487584,0.0015710343583899,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.5080000000000001
2020-09-30,600143,2020Q4,0.647887323943662,0.647887323943662,,1.17,0.71,0.0909090909090909,11.0,13,11,-0.1021672704147864,-0.0395803573428531,0.309255079006772,-0.0127495408830542,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.5080000000000001
2020-09-30,688122,2020Q4,0.5543478260869563,0.5543478260869563,,0.715,0.46,0.4285714285714285,7.0,12,8,0.1672306247748203,0.2298175378467536,0.9864559819413092,-0.0398115990791521,SMALL_POSITIVE_BASE_UPGRADE,HIGH_PRIOR_RUNUP,0.5080000000000001
2020-09-30,601377,2020Q4,0.4827586206896552,0.4827586206896552,,0.43,0.29,0.5714285714285714,7.0,9,7,-0.0201181614190925,0.0424687516528407,0.7426636568848759,-0.0203019526410838,SMALL_POSITIVE_BASE_UPGRADE,NORMAL_PRIOR_RUNUP,0.5080000000000001
2020-10-30,002739,2020Q4,3.0,3.0,,-0.24,-0.06,-0.25,16.0,17,19,-0.1226445534525677,-0.1364456339007066,0.0678733031674208,0.2092210092841203,NEGATIVE_BASE_DETERIORATION,NORMAL_PRIOR_RUNUP,0.48
2020-10-30,300676,2020Q4,2.020661157024793,2.020661157024793,,7.31,2.42,0.3333333333333333,9.0,11,11,0.0105122089858993,-0.0032888714622395,0.5520361990950227,-0.1788125554355454,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.48
2020-10-30,300418,2020Q4,0.932974266906044,0.932974266906044,,3.23,1.671,0.25,4.0,6,6,-0.0861621237881773,-0.0999632042363162,0.1583710407239819,-0.1517500373043294,NORMAL_POSITIVE_UPGRADE,NORMAL_PRIOR_RUNUP,0.48
2020-10-30,002594,2020Q4,0.5888888888888888,0.5888888888888888,,1.43,0.9,0.3703703703703703,27.0,28,35,0.5019773785340282,0.4881762980858893,1.0,0.0279397730393647,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.48
2020-10-30,300274,2020Q4,0.5569620253164556,0.5569620253164556,,1.23,0.79,0.631578947368421,19.0,20,23,0.4445694406210512,0.4307683601729123,0.997737556561086,0.17869014595622,NORMAL_POSITIVE_UPGRADE,HIGH_PRIOR_RUNUP,0.48
