security_code,cash_per_share_2022,cash_per_share_2023,cash_per_share_2024,coverage_2022,coverage_2023,coverage_2024,strict_dividend_growth,cash_coverage_pass,eligible
001314,0.5,0.3299999999999999,0.09,-0.3530721192486792,3.277814625380145,-1.585965303390627,False,False,False
001316,0.625,0.645,0.365,0.18427202059999997,0.08696703241164919,1.5428202664236064,False,False,False
001317,0.1,0.12,0.1,8.11799196151924,0.9642853521156087,-16.83437920350493,False,False,False
001318,0.15,0.16,0.18,3.7760408830396943,3.7276788232770817,2.742649513156757,True,True,True
001319,0.25,0.38,0.39,2.0731992237623764,1.9585063355170105,1.7673784564610306,True,True,True
001322,0.184,0.1318916,0.1323715,2.25546632559903,9.113377273262357,4.010588629188837,False,True,False
001323,1.0,1.0,1.0,1.6185631198470039,4.836620984975376,2.726224193845154,False,True,False
001328,0.6,0.65,0.75,0.8083907130469328,1.3473044127056943,1.4022122576141085,True,False,False
001336,0.12,0.1001088,0.12,-6.535558703013638,1.361807157957787,5.416531083006214,False,False,False
001337,0.2,0.25,0.25,4.55431238952381,2.914733958952381,3.1680820515238097,False,True,False
001338,0.06,0.105,0.3,68.55682590458453,58.55543254929888,16.234817379325477,True,True,True
001696,0.25,0.25,0.2,4.668050767540033,2.1076956216889644,1.4191080458614895,False,True,False
001965,0.414,0.5309999999999999,0.417,1.5144702290424663,1.2253209376818681,2.50371706270146,False,True,False
002001,0.5,0.45,0.5,2.8221364028550324,3.6805954970416996,4.602729413511523,False,True,False
002003,0.35,0.45,0.3,2.1894277137867553,1.3068772016416859,3.10810376660365,False,True,False
002006,0.2,0.15,0.15,3.5112515720845416,-0.3476112411752644,1.8509743851326788,False,False,False
002007,0.3,0.3,0.2,1.7491218431339302,2.4530708989543197,2.8984139038402783,False,True,False
002008,0.2,0.2,0.35,3.0903492544913194,6.475184882763903,3.0576974203130303,False,True,False
002010,0.1,0.1,0.1,5.309195370568612,6.1360201877716545,5.957003126304231,False,True,False
002012,0.012,0.031,0.004,38.90603561970224,-1.3828927391332515,37.74844577541938,False,False,False
002014,0.4,0.55,0.62,2.218622387672655,1.5297937806261561,1.2151711822659272,True,True,True
002015,0.19,0.13,0.1,3.0110284620465544,10.798890735791982,14.937767810067838,False,True,False
002016,0.024,0.026,0.01,-13.984296656871168,-13.995880001716058,-53.6513152341428,False,False,False
